entidad,veintiles,media,media_se,propietario,propietario_se,total_hogares,total_hogares_se,factor,valor_promedio,hogares_propietarios,acumulacion_valor,sum_valor,acum_porcen
5,14,404919.03388949286,20036.101575952307,0.8072032896913551,0.03232294146248907,42314,3537.272357531591,1.6711,676660.1975327316,34156,23112005706.92798,515927976047.6489,0.04479696155262077
5,15,511667.7071509648,34932.942936079846,0.8298098751418842,0.03143732301648121,42288,3606.895599005114,1.6711,855047.9054199774,35091,30004486049.092426,515927976047.6489,0.05815634631590774
5,16,587850.0811707409,33342.19514511409,0.7618521045573253,0.03639048839569736,42503,3597.0515280094164,1.6711,982356.2706444251,32381,31809678399.73713,515927976047.6489,0.06165526948823438
5,17,703964.46592282,48109.62331256306,0.8067893776798617,0.034480112310275285,42213,3606.1630151692952,1.6711,1176395.0190036246,34057,40064485162.20644,515927976047.6489,0.07765519030219492
5,18,739521.2165576519,47745.87546878417,0.8658527946350563,0.029365962199478807,42349,3733.172660795752,1.6711,1235813.9049894921,36668,45314824268.1547,515927976047.6489,0.08783168653752092
5,19,991063.1924594269,86323.0811853543,0.8936949280669013,0.02785301216449537,42331,3831.2867913002633,1.6711,1656165.7009189483,37831,62654404631.46473,515927976047.6489,0.12144021557318736
5,20,1248172.5148964343,125859.78610283119,0.9156105173555282,0.028508106223450784,42292,3953.0980751877646,1.6711,2085821.0896434314,38723,80769250054.26259,515927976047.6489,0.15655140601796536
6,1,271756.24786032183,15091.96661486429,0.42408421773365285,0.046125745848781714,11684,1104.6879781354673,1.9333333333333333,525395.4125299555,4955,2603334269.0859294,125008480399.27602,0.020825261300440594
6,2,296889.49244610424,12996.159136397415,0.39382108300797825,0.04472195848733941,11782,1097.6550069579157,1.9333333333333333,573986.3520624682,4640,2663296673.5698524,125008480399.27602,0.021304927994191317
6,3,305186.84346478386,15821.17001076437,0.4551403478560358,0.047561027932759244,11614,1111.3656351094724,1.9333333333333333,590027.8973652488,5286,3118887465.472705,125008480399.27602,0.024949407076311984
6,4,319369.3828844187,11925.575736136958,0.47025230139788615,0.0481110441676356,11732,1138.9203224207492,1.9333333333333333,617447.4735765428,5517,3406457711.7217865,125008480399.27602,0.027249812979420193
6,5,345458.5806451613,19471.212147435515,0.4716559139784946,0.048939161425593056,11625,1144.721869507365,1.9333333333333333,667886.5892473118,5483,3662022168.843011,125008480399.27602,0.029294189939326865
6,6,355579.6115681452,16982.91757362956,0.5957934017470953,0.046598882677475306,11791,1116.160929700358,1.9333333333333333,687453.9156984141,7025,4829363757.781359,125008480399.27602,0.0386322891243571
6,7,352896.2569060773,17920.548240825854,0.5508459944751382,0.048356974727995564,11584,1124.5849429648065,1.6666666666666667,588160.4281767956,6381,3753051692.1961327,125008480399.27602,0.03002237672363441
6,8,363696.4367718343,18883.957561023093,0.5301471213538567,0.04662785137800384,11759,1094.0286381986125,1.6666666666666667,606160.7279530573,6234.000000000001,3778805978.0593596,125008480399.27602,0.030228397033464336
6,9,406321.81536874676,21042.505635221172,0.5716864363073749,0.04986628405080886,11634,1153.4082632240293,1.6666666666666667,677203.0256145779,6651,4504077323.362557,125008480399.27602,0.036030174184795885
6,10,404833.0788367505,16643.60566873402,0.5834262674787681,0.04824526223481401,11657,1136.9238934759803,1.6666666666666667,674721.7980612508,6801,4588782948.614567,125008480399.27602,0.03670777321632927
6,11,431199.0211572776,25197.538390471538,0.5638541932194748,0.04986626590996825,11769,1171.5501961626883,1.6666666666666667,718665.0352621293,6635.999999999999,4769061173.999489,125008480399.27602,0.03814990118084108
6,12,526279.5854922279,38298.982180233594,0.5879965457685665,0.051186810631950685,11580,1211.1090960476124,1.6666666666666667,877132.6424870465,6809,5972396162.6943,125008480399.27602,0.04777592802999059
6,13,474229.2123374968,29082.83921280268,0.7080465630045034,0.05042018330319936,11769,1257.8015221559863,1.6666666666666667,790382.0205624948,8333,6586253377.347269,125008480399.27602,0.05268645260154217
6,14,484477.22789261513,24338.8320675245,0.6543442833862252,0.048450553906979985,11659,1187.2930906726676,1.5124166666666667,732731.4340852561,7628.999999999999,5590008110.636418,125008480399.27602,0.04471703113886338
6,15,629830.4158483477,47310.44401863617,0.6879002647083938,0.050758188475419554,11711,1259.4240618542574,1.5124166666666667,952566.0181026385,8056,7673871841.834856,125008480399.27602,0.061386810057402305
6,16,622170.185058259,44600.623546545045,0.6761480466072652,0.04801222339760255,11672,1175.8892205308455,1.5124166666666667,940980.5573851954,7892,7426218558.883962,125008480399.27602,0.05940571819739495
6,17,573101.7080078963,31013.744401566004,0.8123766200326152,0.03989848597563169,11651,1258.3996626688888,1.5124166666666667,866768.5748862759,9465,8203964561.298601,125008480399.27602,0.06562726412716328
6,18,796842.0153714773,56015.70099864239,0.8250213492741246,0.04054664041597011,11710,1297.9127859451835,1.5124166666666667,1205157.1447480787,9661,11643023175.411188,125008480399.27602,0.0931378666329154
6,19,858358.8977594643,69468.718605007,0.8907202334964375,0.03139617790554593,11649,1313.604292542774,1.5124166666666667,1298196.3029530433,10376,13470084839.440777,125008480399.27602,0.10775336838282844
6,20,1027363.4068858933,110687.09803040985,0.9264188202970722,0.02981847229359055,11647,1341.8524011368825,1.5124166666666667,1553801.5392976732,10790,16765518609.021893,125008480399.27602,0.1341150500787864
7,1,132309.93317816654,8510.647986272652,0.7423830617914258,0.04779338860641237,66595,7226.626534141473,4.473,591822.3311059389,49439,29259104227.546513,1040206416337.601,0.028128171262933658
7,2,155540.38632360246,10624.670131261177,0.7821020460396562,0.0440294023122146,66421,7231.044182968263,4.473,695732.1480254738,51948,36141893625.62731,1040206416337.601,0.03474492471684331
7,3,175558.08043055763,12057.317557743001,0.7225594259231575,0.048544582168545465,66890,7132.969684763516,4.473,785271.2937658842,48332,37953732170.29272,1040206416337.601,0.036486731454629634
7,4,184042.11481733606,13409.768883697952,0.8118750472732773,0.04184109246540156,66105,7339.5608979292365,4.473,823220.3795779442,53668.99999999999,44181414551.56868,1040206416337.601,0.04247369931356924
7,5,178055.25854710455,11076.408222438044,0.8437336208574808,0.03752014041272384,66777,7097.958241142282,4.473,796441.1714811986,56342,44873088483.5937,1040206416337.601,0.04313863842676976
7,6,187861.15028051965,11009.782518611764,0.7958507095496685,0.04212371252649382,66662,7047.346037770602,4.473,840302.9252047644,53053,44580591090.88837,1040206416337.601,0.04285744674393515
7,7,208311.4065568817,16253.12571174724,0.8263483909956186,0.040103932960578514,66190,7117.431103333385,3,624934.2196706451,54696,34181402079.105602,1040206416337.601,0.03286021076417968
7,8,204650.71885585246,16268.569736153198,0.8319909672563042,0.03983398138014425,66425,7076.379951178256,3,613952.1565675574,55265.00000000001,33930065932.706062,1040206416337.601,0.03261858934899513
7,9,252137.928975534,18367.78006698006,0.783538087205744,0.04453324077261876,66991,7414.0962472445835,3,756413.786926602,52490,39704159675.777336,1040206416337.601,0.03816950083385304
7,10,220295.42061852562,14304.510863119373,0.8262488879506628,0.03985986939993317,66319,6966.483548942908,3,660886.2618555769,54796,36213923604.63819,1040206416337.601,0.03481417056832006
7,11,242620.9154217011,18137.224447782828,0.8425242545086602,0.0369505299138579,67204,7252.519252019529,3,727862.7462651033,56621,41212316556.27641,1040206416337.601,0.03961936391565275
7,12,290391.8550390885,29649.631976113455,0.7787255317859524,0.04639739165153743,66004,7206.508308143798,3,871175.5651172656,51399,44777552871.46233,1040206416337.601,0.04304679548999215
7,13,270046.4342936606,17401.409718721596,0.8497838507814626,0.037393333874142023,66158,7038.840766950463,3,810139.3028809819,56220,45546031607.9688,1040206416337.601,0.0437855707219429
7,14,302509.3639735818,19958.425077981567,0.7730631201182183,0.047736558732192985,66318,7223.124296257632,3.085638888888889,933434.6577299276,51268,47855328032.497925,1040206416337.601,0.04600560742644601
7,15,312230.976956313,23666.98967215044,0.7618668987037926,0.04523483077415973,66656,7161.550015904418,3.085638888888889,963432.04481217,50783,48925969531.69643,1040206416337.601,0.04703486612201151
7,16,350417.9748352307,21852.647042236298,0.7557819053325344,0.04748206135589911,66760,7188.26111704502,3.085638888888889,1081263.330517276,50456,54556222604.57967,1040206416337.601,0.052447496715760836
7,17,374833.00648664957,25638.961280344545,0.7324181626187962,0.04687491338397318,66290,6993.575381900349,3.085638888888889,1156599.3016543472,48552,56155209293.92187,1040206416337.601,0.05398467882137788
7,18,422326.982507726,28015.68835914031,0.8184764019322512,0.04028127341245044,66658,7163.372209265011,3.085638888888889,1303148.5610529368,54558,71097179193.92613,1040206416337.601,0.06834910655929986
7,19,561791.7100792752,44474.505290322486,0.8335069837674594,0.044897619734249855,66225,7513.258148520003,3.085638888888889,1733486.3480760036,55198.99999999999,95686712927.44731,1040206416337.601,0.0919881971737348
7,20,828404.3785055183,67422.61049220605,0.9046800554851939,0.03292600740668492,66324,7342.942687921397,3.085638888888889,2556156.7660424584,60002,153374518276.0796,1040206416337.601,0.14744623361975265
8,1,218400.33328704347,11837.266091922194,0.6278989029301486,0.03622336399727655,57608,4067.359497577935,1.8539333333333334,404899.6578919595,36172,14646030425.267958,772208697353.2936,0.018966414747032104
8,2,267569.8954415266,15777.502269195727,0.5741744021532834,0.038657725290847204,57958,4480.626155809403,1.8539333333333334,496056.7481555609,33278,16507776465.120756,772208697353.2936,0.0213773511250266
8,3,274320.645905421,13890.2976750217,0.5666526860298486,0.040083036021590704,57222,4573.061950625055,1.8539333333333334,508572.18946559017,32425,16490453243.42176,772208697353.2936,0.021354917783161415
8,4,297161.0982238687,16322.43485536367,0.55787141224942,0.039805987045288926,57766,4551.9021328575345,1.8539333333333334,550916.865367171,32226,17753846903.322453,772208697353.2936,0.022990995781545672
8,5,318164.6555323591,17392.49572882548,0.5772268615170494,0.04041143511477287,57480,4651.499850210334,1.8539333333333334,589856.0603799582,33179,19570834227.346634,772208697353.2936,0.025343970217409726
8,6,336164.79609620076,18582.101147226884,0.6009933774834437,0.04013829061681728,57380,4655.053079226561,1.8539333333333334,623227.1209759498,34485,21491987266.85563,772208697353.2936,0.027831837870407744
8,7,378427.1736761068,19620.87555463153,0.6703977302216148,0.03824270064207155,57803,4693.418186237852,1.6724805555555555,632912.0896671338,38751,24525976386.6911,772208697353.2936,0.031760813457233326
8,8,364378.0983446423,18132.27937206483,0.6824469291283644,0.03977346340940231,57329,4819.4978383116395,1.6724805555555555,609415.2843517242,39124,23842763584.976856,772208697353.2936,0.030876061959282157
