veintiles,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
11,442749.69728420686,544860.1377879843,682348.6221536086,357325.34678436315,391511.20092761307,431199.0211572776,242620.9154217011,419614.70116465585,1107391.2807279641,304440.7138782495,406901.9525728943,250678.82892812055,350791.15990724525,536443.8361466131,494740.5136598788,355243.4028148397,452517.3393973849,431439.76871185354,580200.3201707577,276281.0029838245,437401.0348196302,593962.3008296594,585658.72381257,388264.70464578515,430469.63450224674,503088.36962997285,357105.50283515,365823.263907771,381887.7872390062,300625.2020210612,373583.53844639164,288691.28508124076
12,453201.39644022204,673838.0971712214,789574.8031496063,391818.0265507336,408648.82562277577,526279.5854922279,290391.8550390885,420681.6955950488,1066920.1914682242,284626.4352903017,387276.11693617696,265404.5960863021,376954.77126645163,521786.63548690535,565529.3851717903,401580.5098320392,416515.5206286837,408100.96542797046,629544.7347690829,296457.4909415533,390700.56758103525,689138.7063299896,616609.8256735341,403495.99455468875,431409.27678035724,536231.7707176183,389537.48081690475,382058.915978239,351009.6081057474,325521.5272409505,419482.5720562678,315240.76714344847
13,506376.5651924181,651041.2381129964,810321.246721185,460152.1670357482,438237.3902605503,474229.2123374968,270046.4342936606,419400.9004292744,1204046.619481366,345165.74233128835,423702.0526020095,298854.8100242522,346577.9170662114,647614.0954319709,580438.2737631374,490925.40313370794,482579.54748543445,433329.8992929076,636907.2913053918,328865.5625316987,397079.4863063677,752982.4803897854,607182.0021426021,420016.58279665216,474592.741099205,581989.8792613636,426436.437318298,428766.3047438607,351886.65934193024,378745.70487372245,406525.1130997589,326120.1044386423
14,556504.2093809061,644840.445523453,919689.7007384376,541865.5030000779,404919.03388949286,484477.22789261513,302509.3639735818,478906.34073404386,1398120.3138622493,382084.2139489514,449280.6705412565,301843.5273986231,449030.1245966507,694969.9638445579,636551.403075565,438016.72742869396,453763.2220151928,409969.38229311636,733250.1301718268,357316.4725457571,464981.6674698795,724664.7178182069,664194.2068965518,555858.9852735108,478920.55977163545,552330.0406224333,437935.1715179784,469820.4402228514,372205.3311605168,367809.1058141001,406425.05416584597,305301.96583951014
15,609611.0376544984,786991.6631236483,924937.1074059713,481560.80763812806,511667.7071509648,629830.4158483477,312230.976956313,527698.6976905713,1449816.646959333,333424.5236932096,486776.2813859071,324642.44465832534,440257.6523862586,725720.6640762981,669936.4405000798,475642.8256808275,550633.5394946104,419700.6059944314,699737.4070351758,373786.13965744403,518055.31189967017,837421.0234364166,734032.5640214985,495214.6558492541,440608.43869002286,654567.396316947,478600.07761425717,436463.3039371241,380543.54267123685,469120.6233454872,484665.8585329096,299820.6484249253
16,612706.9413190237,774404.0332894664,1000709.7966728281,600001.8795520401,587850.0811707409,622170.185058259,350417.9748352307,547959.7188232231,1674670.1979920014,438920.8891794704,547632.7647374553,362870.59582359105,416422.265954456,800110.4869734386,712912.951720029,491246.58981307124,562044.3583118002,567328.4577328458,822016.758977077,382188.9015516788,532103.2323944519,896688.7527261397,920450.7848201868,643087.3918741809,500946.6325188621,731275.8047721381,541040.1587672193,514468.3223702192,433530.14071457525,505127.77407616214,504659.91544587555,384563.29230203934
17,619970.5932638057,1036988.420151171,1014899.649122807,694511.5547869832,703964.46592282,573101.7080078963,374833.00648664957,665471.0008673026,1964457.3272320183,530677.7181862507,571983.6260675098,368905.4113156535,502558.70102364983,930624.731144882,850946.1451623614,550037.439779766,709356.3585971645,557891.1440107671,942212.476491537,438065.5053718577,634191.7369799244,1053619.2093136066,915866.4912070822,652228.0951518132,588755.3851129696,786099.3677145885,547407.6847641972,555427.1277666917,439656.10859728506,457224.17540002853,555205.1448650799,402730.4636985036
18,812367.492795389,1106729.0290159876,1531061.9264286265,816362.2145761652,739521.2165576519,796842.0153714773,422326.982507726,872829.7787140693,2339870.388908542,632297.0701052804,710328.8435230979,492151.7948717949,509735.40089270956,1049689.101469081,908883.3226127864,578091.3652933909,771332.9285280566,713620.3346203346,1138459.5614810055,527235.1657633561,690191.4738833115,1245113.803458631,1286266.6561663253,741758.0853475316,667241.8794171136,1059215.1802656546,755848.0124023752,605517.6310864859,450691.05738421204,526847.0259780055,772317.0951913641,490844.70512761764
19,877073.607998621,1325854.5926904448,1199388.689827076,1088128.8808946586,991063.1924594269,858358.8977594643,561791.7100792752,1048674.1829895568,2580511.912153014,521298.08746497746,968695.2517985612,484766.49501126487,510413.6326242802,1547947.0663766672,1078284.546861914,705401.22676976,894437.6912675254,624948.418230563,1519667.6240732083,606548.2339801759,946325.803188671,1461221.0439333424,1126075.2786261055,849249.4699646643,683215.6954120744,1107409.5301566145,777500.7238883143,817198.247215629,586277.011825786,666419.8595415733,883262.222807133,476075.6383712905
20,1496864.0922190202,1880484.2113159425,1406025.638643753,1532525.3929389464,1248172.5148964343,1027363.4068858933,828404.3785055183,1382699.7431910692,4173948.544595194,782618.6897565757,1223991.7304990855,678138.7164808677,874879.3308302838,1740295.319148936,1486127.289411824,650709.374135865,1646415.7786367084,845170.5308775732,2346401.5302548627,964641.5911291032,880717.6002046111,1770075.5951552277,1540788.6556641564,1418262.6605796793,780666.1888136142,1608602.0414970978,1205183.0413203372,1100544.7248336908,641796.2952141647,820051.7684151643,1155693.9529970954,703860.631052217
